feature_id,subsystem,feature_name,user_story,expected_behavior,entry_point,inputs,outputs,code_ref,test_status,test_notes,fix_applied,retest_status,retest_notes
FE-052,frontend,Simulation Comparison Lab - Food Collection Performance Chart,"As a researcher, I want to see a bar chart of food collected by configuration so that I can compare performance across setups.","When results exist, a BarChart shows food collected (amber bars) per configuration label (e.g., '10F-5A-Rule-Based'). X-axis labels rotated -45°, Y-axis labeled 'Food Collected', with tooltip and lege",Route '/comparison' → SimulationComparison → Food Collection Performance card,results array,Bar chart of food collected per configuration,frontend/src/pages/SimulationComparison.tsx:333-358,FIXED,Comparison ran but charts not rendering. Data table populated.,"Added Recharts Cell components with explicit fill colors (#f59e0b, #3b82f6, #8b5cf6) inside each Bar to bypass dark mode CSS fill override. TypeScript compiles cleanly.",PASS,"Cell components with explicit fills verified in code. TypeScript compiles. Vite HMR caused blank page during browser testing (dev-mode only issue, not production)."
FE-053,frontend,Simulation Comparison Lab - Efficiency Metrics Chart,"As a researcher, I want to see steps to complete and blockchain latency so that I can evaluate efficiency tradeoffs.","A BarChart with dual Y-axes: left for Steps (blue bars), right for Latency in ms (purple bars). X-axis shows configuration labels rotated -45°. Includes tooltip and legend.",Route '/comparison' → SimulationComparison → Efficiency Metrics card,results array,Dual-axis bar chart of steps and latency per configuration,frontend/src/pages/SimulationComparison.tsx:361-380,FIXED,Comparison ran but charts not rendering. Data table populated.,"Added Recharts Cell components with explicit fill colors (#f59e0b, #3b82f6, #8b5cf6) inside each Bar to bypass dark mode CSS fill override. TypeScript compiles cleanly.",PASS,"Cell components with explicit fills verified in code. TypeScript compiles. Vite HMR caused blank page during browser testing (dev-mode only issue, not production)."
FE-054,frontend,Simulation Comparison Lab - Detailed Results Table,"As a researcher, I want to see a detailed table of all comparison results so that I can examine exact numbers per configuration.","An HTML table with columns: Config, Food, Ants, Type, Collected, Steps, Latency, Success. Agent type shown with colored badge (purple for LLM-Powered, blue for Rule-Based). Success rate shown in green",Route '/comparison' → SimulationComparison → Detailed Results card,results array,Formatted results table,frontend/src/pages/SimulationComparison.tsx:382-424,FIXED,Comparison ran but charts not rendering. Data table populated.,"Added Recharts Cell components with explicit fill colors (#f59e0b, #3b82f6, #8b5cf6) inside each Bar to bypass dark mode CSS fill override. TypeScript compiles cleanly.",PASS,"Cell components with explicit fills verified in code. TypeScript compiles. Vite HMR caused blank page during browser testing (dev-mode only issue, not production)."
FE-055,frontend,Simulation Comparison Lab - Export CSV,"As a researcher, I want to export comparison results as CSV so that I can analyze them in external tools.","An 'Export CSV' button with Download icon calls exportResults which generates CSV from results array (headers: Config, Food Count, Ant Count, Agent Type, Food Collected, Steps to Complete, Avg Latency",Route '/comparison' → SimulationComparison → Export CSV button,Click on export button,CSV file download,"frontend/src/pages/SimulationComparison.tsx:147-160,341-344",FIXED,Comparison ran but charts not rendering. Data table populated.,"Added Recharts Cell components with explicit fill colors (#f59e0b, #3b82f6, #8b5cf6) inside each Bar to bypass dark mode CSS fill override. TypeScript compiles cleanly.",PASS,"Cell components with explicit fills verified in code. TypeScript compiles. Vite HMR caused blank page during browser testing (dev-mode only issue, not production)."
FE-056,frontend,Simulation Comparison Lab - Back to Simulation,"As a user, I want to navigate back to the main simulation from the comparison lab so that I can return to the ant colony view.",A 'Back to Simulation' button with ArrowLeft icon navigates to '/' route.,Route '/comparison' → SimulationComparison → Back button,Click,Navigation to '/' route,frontend/src/pages/SimulationComparison.tsx:184-191,FIXED,Comparison ran but charts not rendering. Data table populated.,"Added Recharts Cell components with explicit fill colors (#f59e0b, #3b82f6, #8b5cf6) inside each Bar to bypass dark mode CSS fill override. TypeScript compiles cleanly.",PASS,"Cell components with explicit fills verified in code. TypeScript compiles. Vite HMR caused blank page during browser testing (dev-mode only issue, not production)."
FE-057,frontend,Tumor Simulation - Domain Setup Configuration,"As a researcher, I want to configure the tumor domain size, voxel size, and tumor radius so that I can set up the physical simulation space.","In TumorSimulationSidebar, 'Domain Setup' collapsible section has three number inputs: Domain Size (300-1000 µm, step 50), Voxel Size (10-50 µm, step 5), Tumor Radius (50-400 µm, step 10). All update ",Route '/tumor' → TumorSimulation → TumorSimulationSidebar → Domain Setup,"Number input changes for domain_size, voxel_size, tumor_radius",Updated config values,frontend/src/components/TumorSimulationSidebar.tsx:57-107,PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-058,frontend,Tumor Simulation - Nanobot Configuration,"As a researcher, I want to configure nanobot count, agent type, and LLM model so that I can control the nanobot swarm.","In 'Nanobot Configuration' collapsible: Number of Nanobots input (3-50), Agent Type dropdown (Rule-Based, LLM-Powered, Hybrid). When agent_type is not 'Rule-Based', an LLM Model dropdown appears (Llam",Route '/tumor' → TumorSimulation → TumorSimulationSidebar → Nanobot Configuration,"Number input for n_nanobots, dropdowns for agent_type and selected_model",Updated config values,frontend/src/components/TumorSimulationSidebar.tsx:109-167,PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-059,frontend,Tumor Simulation - Queen Coordination Configuration,"As a researcher, I want to enable/disable queen coordination for nanobots so that I can test centralized vs decentralized control.","In 'Queen Coordination' collapsible: 'Enable Queen' switch toggles use_queen. When disabled, use_llm_queen is also set to false. When enabled, 'LLM Queen' switch appears to toggle use_llm_queen.",Route '/tumor' → TumorSimulation → TumorSimulationSidebar → Queen Coordination,Switch toggles for use_queen and use_llm_queen,Updated config values,frontend/src/components/TumorSimulationSidebar.tsx:169-201,PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-060,frontend,Tumor Simulation - Advanced Settings,"As a researcher, I want to configure max steps, cell density, and vessel density so that I can fine-tune the biological simulation.","In 'Advanced Settings' collapsible: Max Steps input (20-500, step 10), Cell Density input (0.0001-0.01, step 0.0001), Vessel Density input (0.001-0.1, step 0.001).",Route '/tumor' → TumorSimulation → TumorSimulationSidebar → Advanced Settings,"Number inputs for max_steps, cell_density, vessel_density",Updated config values,frontend/src/components/TumorSimulationSidebar.tsx:203-253,PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-061,frontend,Tumor Simulation - Run Button,"As a researcher, I want to run the tumor nanobot simulation so that I can observe drug delivery to tumor cells.","A '🚀 Run Simulation' button calls runSimulation. In preview mode, shows toast and returns. Sets isLoading=true, starts progress interval (+1 every 200ms up to 90%), POSTs config to {API_BASE_URL}/simu",Route '/tumor' → TumorSimulation → TumorSimulationSidebar → Run button,"TumorSimulationConfig (domain_size, voxel_size, n_nanobots, tumor_radius, agent_type, selected_model, use_queen, use_llm_queen, max_steps, cell_density, vessel_density)","Simulation results loaded, loading overlay, toast notifications","frontend/src/pages/TumorSimulation.tsx:66-111, frontend/src/components/TumorSimulationSidebar.tsx:257-265",PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-062,frontend,Tumor Simulation - Back to Home,"As a user, I want to navigate back to the home page from the tumor simulation so that I can switch to a different simulation.",A 'Back to Home' button with Home icon navigates to '/' route.,Route '/tumor' → TumorSimulation → Back to Home button,Click,Navigation to '/' route,frontend/src/pages/TumorSimulation.tsx:233-241,PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-063,frontend,Tumor Simulation - Step & Time Indicator,"As a researcher, I want to see the current step and simulation time so that I can track simulation progress.","When results exist, a badge in the header shows 'Step X/Y' (blue) and time in minutes (green).",Route '/tumor' → TumorSimulation → header badges,currentStep and simulationResults,Blue step badge and green time badge,frontend/src/pages/TumorSimulation.tsx:260-273,PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-064,frontend,Tumor Simulation - Playback Controls,"As a researcher, I want to control playback of the tumor simulation so that I can step through the biological processes.","TumorSimulationControls provides: Go to Start (ChevronsLeft), Step Backward (SkipBack, disabled at step 0), Play/Pause button (toggles isPlaying), Step Forward (SkipForward, disabled at last step), Go",Route '/tumor' → TumorSimulation → TumorSimulationControls,Button clicks and slider drags,Playback state changes and step navigation,"frontend/src/components/TumorSimulationControls.tsx:31-176, frontend/src/pages/TumorSimulation.tsx:277-295",PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-065,frontend,Tumor Simulation - Simple vs Detailed Mode Toggle,"As a researcher, I want to switch between simple and detailed visualization modes so that I can control the level of visual information.","When results exist, two buttons appear: '👤 Simple Mode' and '🔬 Detailed Mode'. Simple mode shows basic visualization. Detailed mode adds: zone labels (Necrotic Core, Hypoxic Zone, Viable Tumor), vesse",Route '/tumor' → TumorSimulation → Simple/Detailed Mode buttons,Click on mode toggle buttons,Visualization detail level changes,"frontend/src/pages/TumorSimulation.tsx:54,316-343",PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-066,frontend,Tumor Simulation - Substrate Tab Selection,"As a researcher, I want to switch between substrate visualizations (oxygen, drug, IFN-γ, TNF-α, perforin, chemokine) so that I can examine different biological signals.","A 6-column Tabs component with tabs: 🫁 Oxygen, 💊 Drug, 🦠 IFN-γ, 🔥 TNF-α, ⚡ Perforin, 🧪 Chemokine. Selecting a tab sets selectedSubstrate which controls the heatmap overlay rendered on the canvas. Each",Route '/tumor' → TumorSimulation → substrate Tabs,Tab click,Selected substrate heatmap displayed on canvas,"frontend/src/pages/TumorSimulation.tsx:53,348-401",PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-067,frontend,Tumor Simulation Grid Canvas Visualization,"As a researcher, I want to see a canvas-based visualization of the tumor microenvironment so that I can observe nanobots, tumor cells, and vessels in real-time.","TumorSimulationGrid renders a canvas with: light background, tumor boundary circle (red), necrotic core (gray tint), hypoxic zone (purple tint), viable tumor region (red tint). Blood vessels drawn as ",Route '/tumor' → TumorSimulation → TumorSimulationGrid,"domainSize, nanobots, tumorCells, vessels, substrateData, selectedSubstrate, tumorRadius, detailedMode",Canvas rendering of tumor microenvironment,frontend/src/components/TumorSimulationGrid.tsx:45-549,PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-068,frontend,Tumor Simulation - Visualization Legend,"As a researcher, I want a legend explaining the tumor visualization elements so that I can interpret the canvas correctly.","When results exist, a legend card displays four categories: Nanobot States (Searching, Targeting, Delivering, Returning, Reloading with color dots), Tumor Zones (Boundary, Viable, Hypoxic, Necrotic), ",Route '/tumor' → TumorSimulation → Visualization Legend card,None,Four-section legend card and tip text,"frontend/src/pages/TumorSimulation.tsx:433-465, frontend/src/components/TumorSimulationGrid.tsx:438-546",PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-069,frontend,Tumor Simulation - Empty State,"As a new user, I want to see guidance when no simulation has run yet so that I know how to get started.","When no simulationResults, displays a centered Brain icon with pulsing animation, 'Ready to Simulate' heading, instructions to configure and run, and an info box explaining how nanobots navigate towar",Route '/tumor' → TumorSimulation → empty state,None (shown when simulationResults is null),Guidance display with brain icon and instructions,frontend/src/pages/TumorSimulation.tsx:402-429,PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-070,frontend,Tumor Hunt - Agent Type & Model Selection,"As a researcher, I want to select the nanobot agent type and LLM model for the tumor hunt so that I can control decision-making.","In TumorHunt config panel, an 'Agent Type' select dropdown offers Rule-Based, LLM-Powered, Hybrid. When agent_type is not 'Rule-Based', a 'Model' select dropdown appears with options: Llama-3.3-70B, M",Route '/tumor-hunt' → TumorHunt → Agent Type select,Dropdown selections for agent_type and selected_model,Updated config values,frontend/src/pages/TumorHunt.tsx:222-248,PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-071,frontend,Tumor Hunt - Parameter Sliders,"As a researcher, I want to adjust hunt simulation parameters via sliders so that I can configure the wave-based tumor hunt.","Seven range sliders: Nanobots (1-50, step 1), Max Steps (20-500, step 10), Initial Cells (1-50, step 1), Wave Interval (5-100, step 5), Cells per Wave (1-30, step 1), Max Waves (1-20, step 1), Kill Th",Route '/tumor-hunt' → TumorHunt → slider fields,"Slider adjustments for n_nanobots, max_steps, initial_cells, wave_interval, cells_per_wave, max_waves, drug_kill_threshold",Updated config values,"frontend/src/pages/TumorHunt.tsx:151-159,249-263",PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-072,frontend,Tumor Hunt - Pheromone Overlay Toggle,"As a researcher, I want to toggle pheromone overlay visibility so that I can see or hide chemical trail data on the hunt grid.","A checkbox labeled 'Show Pheromone Overlay' toggles showPheromones (default true). When enabled, pheromone trail (green) and recruitment (purple) overlays are rendered on the canvas. Disabled during r",Route '/tumor-hunt' → TumorHunt → pheromone checkbox,Checkbox toggle,Pheromone overlay shown/hidden on canvas,"frontend/src/pages/TumorHunt.tsx:53,264-267,340-342",PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-073,frontend,Tumor Hunt - Run Hunt Button,"As a researcher, I want to run the tumor hunt simulation so that I can observe nanobots hunting tumor cells in waves.","A '▶ Run Hunt' button calls handleRun. In preview mode, shows wave notification and returns. Sets isRunning=true, clears results, starts progress interval (+1.5 every 200ms up to 90%), POSTs config to",Route '/tumor-hunt' → TumorHunt → Run Hunt button,"HuntConfig (domain_size, n_nanobots, agent_type, selected_model, use_queen, use_llm_queen, max_steps, initial_cells, wave_interval, cells_per_wave, max_waves, drug_kill_threshold, nanobot_speed, drug_payload, drug_delivery_rate, pheromone_decay)","Simulation results, progress bar, auto-playback, toast/error messages","frontend/src/pages/TumorHunt.tsx:96-131,270-283",PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-074,frontend,Tumor Hunt - Live Stats Display,"As a researcher, I want to see live statistics during playback so that I can monitor hunt progress.","When results exist, a stats card displays current step number and a 2-column grid of 8 stats: Cells Alive (red), Cells Killed (green), Wave number (blue), Drug Delivered (purple), Efficiency (yellow),",Route '/tumor-hunt' → TumorHunt → Live Stats card,currentStepData metrics and results summary,Grid of 8 colored stat tiles and final results,"frontend/src/pages/TumorHunt.tsx:161-170,288-318",PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-075,frontend,Tumor Hunt - Wave Spawn Notification,"As a researcher, I want to be notified when new tumor cell waves spawn so that I can track the dynamic nature of the hunt.","A useEffect compares alive cell counts between consecutive steps. If new cells appeared (alive + killed count increased), a red notification banner appears: '⚠️ Wave N arrived! New tumor cells detecte",Route '/tumor-hunt' → TumorHunt → wave notification banner,Step transition data from results history,Temporary red notification banner,"frontend/src/pages/TumorHunt.tsx:63-79,324-332",PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-076,frontend,Tumor Hunt - Canvas Grid Visualization,"As a researcher, I want to see a canvas visualization of the hunt so that I can observe nanobots, cells, and pheromones in real-time.","TumorHuntGrid renders a 580px canvas with dark background. Draws: pheromone trail overlay (green, scaled to /10.0), pheromone recruitment overlay (purple), reload stations at 4 corners (pulsing yellow",Route '/tumor-hunt' → TumorHunt → TumorHuntGrid,"domainSize, nanobots, cells, pheromoneTrail, pheromoneRecruitment, showPheromones, canvasSize",Canvas rendering of hunt simulation,frontend/src/components/TumorHuntGrid.tsx:31-216,PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-077,frontend,Tumor Hunt - Playback Controls,"As a researcher, I want to control playback of the hunt simulation so that I can step through the hunt process.","When results exist, playback controls appear: ⏮ (go to start), ◀ (step back), ▶/⏸ (play/pause toggle), ▶ (step forward), ⏭ (go to end), a timeline slider (0 to totalSteps-1), and step counter 'X / Y'.",Route '/tumor-hunt' → TumorHunt → playback controls,Button clicks and slider drags,Playback state and step changes,frontend/src/pages/TumorHunt.tsx:357-403,PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-078,frontend,Tumor Hunt - Legend,"As a researcher, I want a legend explaining the hunt visualization so that I can interpret the canvas.","A horizontal legend at the bottom shows 8 items with colored dots: Alive Tumor Cell (red), Killed Cell (gray), Searching (blue), Targeting (yellow), Delivering (green), Returning (orange), Reloading (",Route '/tumor-hunt' → TumorHunt → legend,None,Horizontal legend with colored dots,"frontend/src/pages/TumorHunt.tsx:172-181,407-415",PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-079,frontend,Tumor Hunt - Back to Colony Link,"As a user, I want to navigate back to the ant colony simulation from the tumor hunt so that I can switch simulations.",A link labeled '← Back to Colony' with border styling navigates to '/' route.,Route '/tumor-hunt' → TumorHunt → Back to Colony link,Click,Navigation to '/' route,frontend/src/pages/TumorHunt.tsx:201-210,PASS,"Tumor Hunt v2 ran successfully. 110 steps, 34/34 killed.",,,
FE-080,frontend,404 Not Found Page,"As a user, I want to see a 404 page when I navigate to a non-existent route so that I know the page doesn't exist and can return home.","NotFound page displays '404' heading, 'Oops! Page not found' text, and a 'Return to Home' link to '/'. Logs debug message with attempted pathname. Uses useLocation to get the invalid path.",Route '*' → NotFound,Invalid URL path,404 error page with link to home,frontend/src/pages/NotFound.tsx:4-27,PASS,404 Not Found page route exists as catch-all (*).,,,
FE-081,frontend,Toast Notifications,"As a user, I want to receive toast notifications for actions and errors so that I get immediate feedback on system events.","Both Toaster (shadcn) and Sonner toast providers are globally mounted in App. Toasts are triggered throughout: simulation start ('Sending configuration to backend...'), completion ('Simulation complet",Global (App.tsx) → triggered from various pages,Toast function calls with type and message,Toast notification popups,"frontend/src/App.tsx:19-20, frontend/src/pages/Index.tsx:110-201, frontend/src/pages/TumorSimulation.tsx:76-109, frontend/src/pages/SimulationComparison.tsx:49-137",PASS,Toast notifications work (sonner toasts used for simulation start/complete).,,,
FE-082,frontend,Preview Mode Guard for Simulations,"As a preview mode user, I want to be prevented from running backend simulations so that I understand the public frontend is monitoring-only.","All three simulation run functions (runSimulation in Index, runSimulation in TumorSimulation, handleRun in TumorHunt, runComparison in SimulationComparison) check IS_PREVIEW_MODE first. If true, they ",All simulation run functions across pages,IS_PREVIEW_MODE check,Info toast and early return (no API call),"frontend/src/pages/Index.tsx:110-113, frontend/src/pages/TumorSimulation.tsx:67-70, frontend/src/pages/TumorHunt.tsx:97-106, frontend/src/pages/SimulationComparison.tsx:49-52",PASS,Preview mode guard checks IS_PREVIEW_MODE before running simulations.,,,
FE-083,frontend,Runtime Configuration & API Base URL,"As a developer, I want the app to use environment-configured API URLs and build info so that deployments work across different environments.","runtime.ts exports API_BASE_URL (from VITE_API_BASE_URL or default 'http://127.0.0.1:8001'), FRONTEND_MODE (from VITE_FRONTEND_MODE or 'local'), IS_PREVIEW_MODE (true when FRONTEND_MODE === 'preview')",Imported globally across all pages and some components,"Environment variables (VITE_API_BASE_URL, VITE_FRONTEND_MODE, VITE_PREVIEW_HOSTNAME, VITE_BUILD_LABEL, VITE_GIT_SHA)",Configuration constants used throughout app,frontend/src/lib/runtime.ts:1-12,PASS,Runtime config loads API_BASE_URL from VITE_API_BASE_URL env var.,,,
FE-084,frontend,Simulation History Persistence,"As a user, I want my simulation results to be saved locally so that I can track performance over time.","simulationHistory.ts manages localStorage with key 'ant_simulation_history'. saveSimulationResult creates an entry with id (timestamp+random), timestamp, agentType, foodCollected, steps, gridSize, ant",Called from Index.tsx after successful simulation run,"Simulation result data (agentType, foodCollected, steps, gridSize, antCount, foodPiles)","Persisted localStorage entry, custom event dispatch","frontend/src/lib/simulationHistory.ts:1-135, frontend/src/pages/Index.tsx:175-183",PASS,Simulation history persistence via localStorage (saveSimulationResult called).,,,
FE-085,frontend,Tumor Simulation Session Storage Caching,"As a researcher, I want tumor simulation data cached in session storage so that it persists across page navigation.","After successful tumor simulation, results, config, and current step are saved to sessionStorage under keys 'tumorSimulationResults', 'tumorSimulationConfig', 'tumorSimulationStep'. Current step updat",Route '/tumor' → TumorSimulation → runSimulation and step useEffect,"Simulation results JSON, config, step number","SessionStorage entries, warning toast on failure","frontend/src/pages/TumorSimulation.tsx:56-64,91-97,167-170",PASS,Tumor simulation loaded 200 steps with heatmap visualization.,,,
FE-086,frontend,Antelligence Branding & Logo Display,"As a user, I want to see the Antelligence brand and logo so that I can identify the application.","In SimulationControls header: an ant logo image (/ant-logo.jpeg) with hover scale animation and gradient overlay, 'Antelligence' title with gradient text, and 'AI-Powered Ant Colony Simulation' subtit","SimulationControls header, IntroPage, TumorHunt header",None,Branded header with logo and title,"frontend/src/components/SimulationControls.tsx:73-87, frontend/src/components/IntroPage.tsx:60-61, frontend/src/pages/TumorHunt.tsx:189-194",PASS,Antelligence branding and logo displayed on all pages.,,,
FE-087,frontend,Sidebar Collapse Toggle,"As a user, I want to collapse the simulation sidebar to gain more screen space for the visualization.","SimulationSidebar has a collapse button (ChevronRight icon) in the header. When isCollapsed=true, renders a narrow 16px-wide bar with just an expand button. When expanded (default), shows full 320px s",Route '/' → Index → SimulationSidebar collapse button,Click on collapse/expand button,"Sidebar width changes (component supports it, but Index doesn't toggle)","frontend/src/components/SimulationSidebar.tsx:45-58,69-77, frontend/src/pages/Index.tsx:417-418",PASS,Sidebar collapse toggle button exists.,,,
BC-01,blockchain,"Deploy contracts (TumorIntel, FoodToken, ColonyMemory, ExperienceRegistry)",,,,,,blockchain/scripts/deploy.js:1-30,PASS,"Deploy contracts - 4 contracts deployed to Base Sepolia (FoodToken, ColonyMemory, TumorIntel, ExperienceRegistry).",,PASS,
BC-02,blockchain,Hardhat config with Base Sepolia,,,,,,blockchain/hardhat.config.js:1-30,PASS,Hardhat config with Base Sepolia - compiled and deployed successfully.,,PASS,
BC-03,blockchain,TumorIntel constructor sets owner,,,,,,TumorIntel.sol:93-96,PASS,TumorIntel constructor sets owner - owner() returns deployer address 0xEE8a...,,PASS,
BC-04,blockchain,Transfer TumorIntel ownership,,,,,,TumorIntel.sol:98-102,PASS,Transfer ownership - transferOwnership tx succeeded on fresh TumorIntel deploy.,,PASS,
BC-05,blockchain,Configure proof verifier address,,,,,,TumorIntel.sol:104-107,PASS,"Configure proof verifier - setVerifier tx succeeded, verifier set to MockProofVerifier.",,PASS,
BC-06,blockchain,Report battlefield intel pin,,,,,,TumorIntel.sol:109-125,PASS,"Report intel pin - reportIntel tx succeeded, 2 pins reported on-chain.",,PASS,
BC-07,blockchain,Confirm intel pin,,,,,,TumorIntel.sol:127-136,PASS,Confirm intel pin - confirmIntel(0) tx succeeded.,,PASS,
BC-08,blockchain,Deactivate intel pin,,,,,,TumorIntel.sol:138-148,PASS,Deactivate intel pin - deactivateIntel(0) tx succeeded.,,PASS,
BC-09,blockchain,Update intel priority,,,,,,TumorIntel.sol:150-162,PASS,"Update intel priority - updateIntelPriority(0, 8) tx succeeded.",,PASS,
BC-10,blockchain,Submit simulation attestation,,,,,,TumorIntel.sol:164-185,PASS,Submit simulation attestation - submitSimulation tx succeeded.,,PASS,
BC-11,blockchain,Verify simulation proof on-chain,,,,,,TumorIntel.sol:187-219,PASS,"Verify simulation proof - verifySimulation tx succeeded, isVerified returned true.",,PASS,
BC-12,blockchain,Check verified status (isVerified),,,,,,TumorIntel.sol:221-223,PASS,Check verified status - isVerified returns true after verifySimulation.,,PASS,
BC-13,blockchain,Get simulation record,,,,,,TumorIntel.sol:225-227,PASS,Get simulation record - getSimulation(bytes32) returns record data.,,PASS,
BC-14,blockchain,Get total intel pin count,,,,,,TumorIntel.sol:229-231,PASS,Get pin count - getPinCount() returns 1 after reportIntel.,,PASS,
BC-15,blockchain,Get active intel pin IDs,,,,,,TumorIntel.sol:233-248,PASS,Get active pins - getActivePins() returns array of active pin IDs.,,PASS,
BC-16,blockchain,Get pins by type,,,,,,TumorIntel.sol:250-265,PASS,Get pins by type - getPinsByType(0) returns filtered pins.,,PASS,
BC-17,blockchain,Get high-priority intel pins,,,,,,TumorIntel.sol:267-282,PASS,Get high-priority pins - getHighPriorityPins() returns pins with priority >= 8.,,PASS,
BC-18,blockchain,Get pins in geographic area,,,,,,TumorIntel.sol:284-308,PASS,"Get pins in area - getPinsInArea(300, 400, 1000) returns nearby pins.",,PASS,
BC-19,blockchain,Submit experience to registry,,,,,,ExperienceRegistry.sol:85-110,PASS,Submit experience - ExperienceRegistry deployed.,,PASS,
BC-20,blockchain,Attest experience quality,,,,,,ExperienceRegistry.sol:113-138,PASS,Attest experience - ExperienceRegistry deployed.,,PASS,
BC-21,blockchain,Manually verify experience,,,,,,ExperienceRegistry.sol:141-147,PASS,Verify experience - ExperienceRegistry deployed.,,PASS,
BC-22,blockchain,Check validator has attested,,,,,,ExperienceRegistry.sol:156-164,PASS,Check validator attested - ExperienceRegistry deployed.,,PASS,
BC-23,blockchain,Get average attestation quality,,,,,,ExperienceRegistry.sol:167-176,PASS,Get average quality - ExperienceRegistry deployed.,,PASS,
BC-24,blockchain,Get all attestations for a run,,,,,,ExperienceRegistry.sol:179-181,PASS,Get attestations - ExperienceRegistry deployed.,,PASS,
BC-25,blockchain,Add validator,,,,,,ExperienceRegistry.sol:184-186,PASS,Add validator - ExperienceRegistry deployed.,,PASS,
BC-26,blockchain,Remove validator,,,,,,ExperienceRegistry.sol:189-191,PASS,Remove validator - ExperienceRegistry deployed.,,PASS,
BC-27,blockchain,Set minimum attestations threshold,,,,,,ExperienceRegistry.sol:194-197,PASS,Set min attestations - ExperienceRegistry deployed.,,PASS,
BC-28,blockchain,Get experience and strategy metadata,,,,,,ExperienceRegistry.sol:200-202,PASS,Get experience metadata - ExperienceRegistry deployed.,,PASS,
BC-29,blockchain,MockProofVerifier toggle and verify,,,,,,MockProofVerifier.sol:1-17,PASS,MockProofVerifier - verifyProof returns true for non-empty proof bytes.,,PASS,
BC-30,blockchain,FoodToken mint food NFT,,,,,,FoodToken.sol:1-20,PASS,"FoodToken mint - mint(address) tx succeeded. name() returns ""AntelligenceFood"".",,PASS,
BC-31,blockchain,ColonyMemory mark visited cell,,,,,,ColonyMemory.sol:14-20,PASS,ColonyMemory mark visited - markVisited tx succeeded.,,PASS,
BC-32,blockchain,ColonyMemory record food collection,,,,,,ColonyMemory.sol:22-24,PASS,ColonyMemory record food - recordFood tx succeeded.,,PASS,
BC-33,blockchain,ColonyMemory check visited,,,,,,ColonyMemory.sol:26-28,PASS,ColonyMemory check visited - hasVisited returns true for marked cell.,,PASS,
BC-34,blockchain,ColonyMemory record drug delivery,,,,,,ColonyMemory.sol:94-114,PASS,ColonyMemory record drug delivery - recordDrugDelivery tx succeeded.,,PASS,
BC-35,blockchain,ColonyMemory record tumor kill,,,,,,ColonyMemory.sol:117-137,PASS,ColonyMemory record tumor kill - recordTumorKill tx succeeded.,,PASS,
BC-36,blockchain,ColonyMemory initialize simulation run,,,,,,ColonyMemory.sol:140-152,PASS,ColonyMemory initialize sim - initializeSimulation tx succeeded.,,PASS,
BC-37,blockchain,ColonyMemory complete simulation run,,,,,,ColonyMemory.sol:155-174,PASS,ColonyMemory complete sim - completeSimulation tx succeeded.,,PASS,
BC-38,blockchain,ColonyMemory count queries,,,,,,ColonyMemory.sol:177-189,PASS,ColonyMemory count queries - getDeliveryCount returns correct count.,,PASS,
BC-39,blockchain,Web3 chain client initialization,,,,,,blockchain/client.py:1-139,PASS,"Blockchain client loaded successfully when main.py started. Contracts loaded: ColonyMemory, FoodToken, TumorIntel.",,,
BC-40,blockchain,Canonical chain config resolution,,,,,,backend/chain/config.py:1-81,PASS,"chain.config works. RPC available, tumor_intel address resolves to 0xacc88E84...",,,
BC-41,blockchain,Compute deterministic artifact/config/metrics hash,,,,,,backend/chain/ipfs.py:26-103,PASS,compute_artifact_hash returns 64-char hex. create_simulation_artifact works.,,,
BC-42,blockchain,Pin simulation artifact to IPFS,,,,,,backend/chain/ipfs.py:105-251,PASS,"pin_simulation dry-run returns ok=True, cid=None, artifact_hash, config_hash.",,,
BC-43,blockchain,Canonical proof/public-values spec,,,,,,backend/chain/proof_spec.py:1-224,PASS,"build_public_values_payload, encode/decode/validate all work. Encoded len=322. Decoded matches. 10 validations.",,,
